WKT,nombre,descripción
"POINT (-2.9770871 43.3026894)",Altzaga (Pasaia/Pasaje),
"POINT (-2.988078899999999 43.3257547)",Batzoki Leioa,
"POINT (-2.9962249 43.3305244)",Artatza (Suhiltzaileak/Bomberos),
"POINT (-3.0070185 43.3245338)",Rotonda Del Soplador,
"POINT (-3.0152 43.32745999999999)",Areeta/Las Arenas - Zugazarte,2
"POINT (-3.009647000000001 43.33700710000001)",Zugazarte (Triángulo),
"POINT (-3.00017 43.34772)",Algorta - Los Chopos 51,Fadura
"POINT (-3.0067566 43.3569712)",Ollaretxe 10 (El Redentor),
"POINT (-3.00918 43.3579)",Algorta - Bidezabal 1-Cruce Venancios,
"POINT (-2.9982308 43.3667056)",Berango (Moreaga),
